REF_DATE,GEO,DGUID,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2015-04,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1481212145,1.1,440425,A,,,0
2015-04,Canada,2016A000011124,Payroll employees,Number,223,units,0,v1481212146,1.2,15109680,A,,,0
2015-04,Canada,2016A000011124,Job vacancy rate,Percent,239,units,0,v1481212147,1.3,2.8,A,,,1
2015-04,Newfoundland and Labrador,2016A000210,Job vacancies,Number,223,units,0,v1481212148,2.1,4805,C,,,0
2015-04,Newfoundland and Labrador,2016A000210,Payroll employees,Number,223,units,0,v1481212149,2.2,213085,A,,,0
2015-04,Newfoundland and Labrador,2016A000210,Job vacancy rate,Percent,239,units,0,v1481212150,2.3,2.2,C,,,1
2015-04,Prince Edward Island,2016A000211,Job vacancies,Number,223,units,0,v1481212151,3.1,850,D,,,0
2015-04,Prince Edward Island,2016A000211,Payroll employees,Number,223,units,0,v1481212152,3.2,57905,A,,,0
2015-04,Prince Edward Island,2016A000211,Job vacancy rate,Percent,239,units,0,v1481212153,3.3,1.4,D,,,1
2015-04,Nova Scotia,2016A000212,Job vacancies,Number,223,units,0,v1481212154,4.1,12365,B,,,0
2015-04,Nova Scotia,2016A000212,Payroll employees,Number,223,units,0,v1481212155,4.2,389260,A,,,0
2015-04,Nova Scotia,2016A000212,Job vacancy rate,Percent,239,units,0,v1481212156,4.3,3.1,B,,,1
2015-04,New Brunswick,2016A000213,Job vacancies,Number,223,units,0,v1481212157,5.1,7660,B,,,0
2015-04,New Brunswick,2016A000213,Payroll employees,Number,223,units,0,v1481212158,5.2,289010,A,,,0
2015-04,New Brunswick,2016A000213,Job vacancy rate,Percent,239,units,0,v1481212159,5.3,2.6,B,,,1
2015-04,Quebec,2016A000224,Job vacancies,Number,223,units,0,v1481212160,6.1,66380,A,,,0
2015-04,Quebec,2016A000224,Payroll employees,Number,223,units,0,v1481212161,6.2,3324715,A,,,0
2015-04,Quebec,2016A000224,Job vacancy rate,Percent,239,units,0,v1481212162,6.3,2,A,,,1
2015-04,Ontario,2016A000235,Job vacancies,Number,223,units,0,v1481212163,7.1,177715,A,,,0
2015-04,Ontario,2016A000235,Payroll employees,Number,223,units,0,v1481212164,7.2,5766380,A,,,0
2015-04,Ontario,2016A000235,Job vacancy rate,Percent,239,units,0,v1481212165,7.3,3,A,,,1
2015-04,Manitoba,2016A000246,Job vacancies,Number,223,units,0,v1481212166,8.1,14370,B,,,0
2015-04,Manitoba,2016A000246,Payroll employees,Number,223,units,0,v1481212167,8.2,555635,A,,,0
2015-04,Manitoba,2016A000246,Job vacancy rate,Percent,239,units,0,v1481212168,8.3,2.5,B,,,1
2015-04,Saskatchewan,2016A000247,Job vacancies,Number,223,units,0,v1481212169,9.1,,F,,,0
2015-04,Saskatchewan,2016A000247,Payroll employees,Number,223,units,0,v1481212170,9.2,465740,A,,,0
2015-04,Saskatchewan,2016A000247,Job vacancy rate,Percent,239,units,0,v1481212171,9.3,,F,,,1
2015-04,Alberta,2016A000248,Job vacancies,Number,223,units,0,v1481212172,10.1,,F,,,0
2015-04,Alberta,2016A000248,Payroll employees,Number,223,units,0,v1481212173,10.2,2024240,A,,,0
2015-04,Alberta,2016A000248,Job vacancy rate,Percent,239,units,0,v1481212174,10.3,,F,,,1
2015-04,British Columbia,2016A000259,Job vacancies,Number,223,units,0,v1481212175,11.1,62705,B,,,0
2015-04,British Columbia,2016A000259,Payroll employees,Number,223,units,0,v1481212176,11.2,1974475,A,,,0
2015-04,British Columbia,2016A000259,Job vacancy rate,Percent,239,units,0,v1481212177,11.3,3.1,B,,,1
2015-04,Yukon,2016A000260,Job vacancies,Number,223,units,0,v1481212178,12.1,580,D,,,0
2015-04,Yukon,2016A000260,Payroll employees,Number,223,units,0,v1481212179,12.2,15995,A,,,0
2015-04,Yukon,2016A000260,Job vacancy rate,Percent,239,units,0,v1481212180,12.3,3.5,D,,,1
2015-04,Northwest Territories,2016A000261,Job vacancies,Number,223,units,0,v1481212181,13.1,970,E,,,0
2015-04,Northwest Territories,2016A000261,Payroll employees,Number,223,units,0,v1481212182,13.2,22620,A,,,0
2015-04,Northwest Territories,2016A000261,Job vacancy rate,Percent,239,units,0,v1481212183,13.3,4.1,E,,,1
2015-04,Nunavut,2016A000262,Job vacancies,Number,223,units,0,v1481212184,14.1,465,E,,,0
2015-04,Nunavut,2016A000262,Payroll employees,Number,223,units,0,v1481212185,14.2,10620,A,,,0
2015-04,Nunavut,2016A000262,Job vacancy rate,Percent,239,units,0,v1481212186,14.3,4.2,E,,,1
2015-05,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1481212145,1.1,407040,A,,,0
2015-05,Canada,2016A000011124,Payroll employees,Number,223,units,0,v1481212146,1.2,15154595,A,,,0
2015-05,Canada,2016A000011124,Job vacancy rate,Percent,239,units,0,v1481212147,1.3,2.6,A,,,1
2015-05,Newfoundland and Labrador,2016A000210,Job vacancies,Number,223,units,0,v1481212148,2.1,4900,C,,,0
2015-05,Newfoundland and Labrador,2016A000210,Payroll employees,Number,223,units,0,v1481212149,2.2,203925,B,,,0
2015-05,Newfoundland and Labrador,2016A000210,Job vacancy rate,Percent,239,units,0,v1481212150,2.3,2.3,C,,,1
2015-05,Prince Edward Island,2016A000211,Job vacancies,Number,223,units,0,v1481212151,3.1,1075,E,,,0
2015-05,Prince Edward Island,2016A000211,Payroll employees,Number,223,units,0,v1481212152,3.2,57915,A,,,0
2015-05,Prince Edward Island,2016A000211,Job vacancy rate,Percent,239,units,0,v1481212153,3.3,1.8,E,,,1
2015-05,Nova Scotia,2016A000212,Job vacancies,Number,223,units,0,v1481212154,4.1,11195,C,,,0
2015-05,Nova Scotia,2016A000212,Payroll employees,Number,223,units,0,v1481212155,4.2,395905,A,,,0
2015-05,Nova Scotia,2016A000212,Job vacancy rate,Percent,239,units,0,v1481212156,4.3,2.8,C,,,1
2015-05,New Brunswick,2016A000213,Job vacancies,Number,223,units,0,v1481212157,5.1,10545,D,,,0
2015-05,New Brunswick,2016A000213,Payroll employees,Number,223,units,0,v1481212158,5.2,269870,A,,,0
2015-05,New Brunswick,2016A000213,Job vacancy rate,Percent,239,units,0,v1481212159,5.3,3.8,D,,,1
2015-05,Quebec,2016A000224,Job vacancies,Number,223,units,0,v1481212160,6.1,57665,A,,,0
2015-05,Quebec,2016A000224,Payroll employees,Number,223,units,0,v1481212161,6.2,3355385,A,,,0
2015-05,Quebec,2016A000224,Job vacancy rate,Percent,239,units,0,v1481212162,6.3,1.7,A,,,1
2015-05,Ontario,2016A000235,Job vacancies,Number,223,units,0,v1481212163,7.1,166685,A,,,0
2015-05,Ontario,2016A000235,Payroll employees,Number,223,units,0,v1481212164,7.2,5793375,A,,,0
2015-05,Ontario,2016A000235,Job vacancy rate,Percent,239,units,0,v1481212165,7.3,2.8,A,,,1
2015-05,Manitoba,2016A000246,Job vacancies,Number,223,units,0,v1481212166,8.1,13270,B,,,0
2015-05,Manitoba,2016A000246,Payroll employees,Number,223,units,0,v1481212167,8.2,564760,A,,,0
2015-05,Manitoba,2016A000246,Job vacancy rate,Percent,239,units,0,v1481212168,8.3,2.3,B,,,1
2015-05,Saskatchewan,2016A000247,Job vacancies,Number,223,units,0,v1481212169,9.1,,F,,,0
2015-05,Saskatchewan,2016A000247,Payroll employees,Number,223,units,0,v1481212170,9.2,476380,A,,,0
2015-05,Saskatchewan,2016A000247,Job vacancy rate,Percent,239,units,0,v1481212171,9.3,,F,,,1
2015-05,Alberta,2016A000248,Job vacancies,Number,223,units,0,v1481212172,10.1,66520,E,,,0
2015-05,Alberta,2016A000248,Payroll employees,Number,223,units,0,v1481212173,10.2,2002560,A,,,0
2015-05,Alberta,2016A000248,Job vacancy rate,Percent,239,units,0,v1481212174,10.3,3.2,E,,,1
2015-05,British Columbia,2016A000259,Job vacancies,Number,223,units,0,v1481212175,11.1,59215,B,,,0
2015-05,British Columbia,2016A000259,Payroll employees,Number,223,units,0,v1481212176,11.2,1985050,A,,,0
2015-05,British Columbia,2016A000259,Job vacancy rate,Percent,239,units,0,v1481212177,11.3,2.9,B,,,1
2015-05,Yukon,2016A000260,Job vacancies,Number,223,units,0,v1481212178,12.1,595,E,,,0
2015-05,Yukon,2016A000260,Payroll employees,Number,223,units,0,v1481212179,12.2,16095,A,,,0
2015-05,Yukon,2016A000260,Job vacancy rate,Percent,239,units,0,v1481212180,12.3,3.6,E,,,1
2015-05,Northwest Territories,2016A000261,Job vacancies,Number,223,units,0,v1481212181,13.1,1295,D,,,0
2015-05,Northwest Territories,2016A000261,Payroll employees,Number,223,units,0,v1481212182,13.2,22635,A,,,0
2015-05,Northwest Territories,2016A000261,Job vacancy rate,Percent,239,units,0,v1481212183,13.3,5.4,D,,,1
2015-05,Nunavut,2016A000262,Job vacancies,Number,223,units,0,v1481212184,14.1,340,D,,,0
2015-05,Nunavut,2016A000262,Payroll employees,Number,223,units,0,v1481212185,14.2,10745,A,,,0
2015-05,Nunavut,2016A000262,Job vacancy rate,Percent,239,units,0,v1481212186,14.3,3.1,D,,,1
2015-06,Canada,2016A000011124,Job vacancies,Number,223,units,0,v1481212145,1.1,398910,A,,,0
2015-06,Canada,2016A000011124,Payroll employees,Number,223,units,0,v1481212146,1.2,15181230,A,,,0
2015-06,Canada,2016A000011124,Job vacancy rate,Percent,239,units,0,v1481212147,1.3,2.6,A,,,1
2015-06,Newfoundland and Labrador,2016A000210,Job vacancies,Number,223,units,0,v1481212148,2.1,4485,C,,,0
2015-06,Newfoundland and Labrador,2016A000210,Payroll employees,Number,223,units,0,v1481212149,2.2,200400,A,,,0
2015-06,Newfoundland and Labrador,2016A000210,Job vacancy rate,Percent,239,units,0,v1481212150,2.3,2.2,C,,,1
2015-06,Prince Edward Island,2016A000211,Job vacancies,Number,223,units,0,v1481212151,3.1,1130,E,,,0
2015-06,Prince Edward Island,2016A000211,Payroll employees,Number,223,units,0,v1481212152,3.2,57830,C,,,0
2015-06,Prince Edward Island,2016A000211,Job vacancy rate,Percent,239,units,0,v1481212153,3.3,1.9,E,,,1
2015-06,Nova Scotia,2016A000212,Job vacancies,Number,223,units,0,v1481212154,4.1,7350,B,,,0
2015-06,Nova Scotia,2016A000212,Payroll employees,Number,223,units,0,v1481212155,4.2,403150,A,,,0
2015-06,Nova Scotia,2016A000212,Job vacancy rate,Percent,239,units,0,v1481212156,4.3,1.8,B,,,1
2015-06,New Brunswick,2016A000213,Job vacancies,Number,223,units,0,v1481212157,5.1,5530,B,,,0
2015-06,New Brunswick,2016A000213,Payroll employees,Number,223,units,0,v1481212158,5.2,279795,A,,,0
2015-06,New Brunswick,2016A000213,Job vacancy rate,Percent,239,units,0,v1481212159,5.3,1.9,B,,,1
2015-06,Quebec,2016A000224,Job vacancies,Number,223,units,0,v1481212160,6.1,59520,A,,,0
2015-06,Quebec,2016A000224,Payroll employees,Number,223,units,0,v1481212161,6.2,3337790,A,,,0
2015-06,Quebec,2016A000224,Job vacancy rate,Percent,239,units,0,v1481212162,6.3,1.8,A,,,1
2015-06,Ontario,2016A000235,Job vacancies,Number,223,units,0,v1481212163,7.1,154100,A,,,0
2015-06,Ontario,2016A000235,Payroll employees,Number,223,units,0,v1481212164,7.2,5811880,A,,,0
2015-06,Ontario,2016A000235,Job vacancy rate,Percent,239,units,0,v1481212165,7.3,2.6,A,,,1
2015-06,Manitoba,2016A000246,Job vacancies,Number,223,units,0,v1481212166,8.1,12645,B,,,0
2015-06,Manitoba,2016A000246,Payroll employees,Number,223,units,0,v1481212167,8.2,570105,A,,,0
2015-06,Manitoba,2016A000246,Job vacancy rate,Percent,239,units,0,v1481212168,8.3,2.2,B,,,1
2015-06,Saskatchewan,2016A000247,Job vacancies,Number,223,units,0,v1481212169,9.1,12135,B,,,0
2015-06,Saskatchewan,2016A000247,Payroll employees,Number,223,units,0,v1481212170,9.2,467900,A,,,0
2015-06,Saskatchewan,2016A000247,Job vacancy rate,Percent,239,units,0,v1481212171,9.3,2.5,B,,,1
