"INCIDENT INFO","DESCRIPTION","START_DT","MODIFIED_DT","QUADRANT","Longitude","Latitude","Count","id","Point"
" Westbound Stoney Trail at 52 Street SE ","Multi-vehicle incident. Blocking the right lane","2026/01/07 05:07:59 PM","2026/01/07 10:12:34 AM","SE","-113.94236480726","50.90598895681","1","2026-01-07T17:07:5950.90598895681454-113.94236480725974","POINT (-113.94236480725974 50.90598895681454)"
" 32 Street and 32 Avenue NE ","Traffic incident.","2026/01/07 03:44:09 PM","2026/01/07 09:27:13 AM","NE","-113.98867198741","51.08121902883","1","2026-01-07T15:44:0951.08121902882563-113.98867198740729","POINT (-113.98867198740729 51.08121902882563)"
" Eastbound 96 Avenue after Metis Trail NE ","Two vehicle incident. Blocking the right lane","2026/01/07 03:28:39 PM","2026/01/07 09:09:30 AM","NE","-113.96838558452","51.13958354775","1","2026-01-07T15:28:3951.13958354774969-113.96838558452218","POINT (-113.96838558452218 51.13958354774969)"
" Memorial Drive and Barlow Trail NE ","Traffic incident.","2026/01/07 03:08:49 PM","2026/01/07 09:17:48 AM","NE","-114.00198621202","51.04506395551","1","2026-01-07T15:08:4951.04506395551219-114.0019862120245","POINT (-114.0019862120245 51.04506395551219)"
" Northbound Macleod Trail and Lake Fraser Gate SE ","Two vehicle incident. Blocking the right lane","2026/01/07 03:03:42 PM","2026/01/07 09:09:30 AM","SE","-114.06885325863","50.93775318699","1","2026-01-07T15:03:4250.93775318699182-114.06885325862808","POINT (-114.06885325862808 50.93775318699182)"
" Westbound Stoney Trail after Sarcee Trail NW ","Two vehicle incident. Blocking the left lane","2026/01/07 02:53:09 PM","2026/01/07 09:27:13 AM","NW","-114.1703639574","51.15181499196","1","2026-01-07T14:53:0951.15181499196338-114.1703639573997","POINT (-114.1703639573997 51.15181499196338)"
" Southbound Deerfoot Trail approaching country Hills Boulevard NE ","Two vehicle incident. Blocking the left lane","2026/01/07 02:46:49 PM","2026/01/07 08:46:28 AM","NE","-114.01057928402","51.15948611863","1","2026-01-07T14:46:4951.15948611863427-114.01057928402363","POINT (-114.01057928402363 51.15948611863427)"
" Eastbound Glenmore Trail after Blackfoot Trail SE ","Two vehicle incident. Blocking the centre lane","2026/01/07 02:33:52 PM","2026/01/07 07:56:40 AM","SE","-114.0479878524","50.99433858659","1","2026-01-07T14:33:5250.99433858658668-114.04798785240116","POINT (-114.04798785240116 50.99433858658668)"
" Eastbound Mcknight Blvd at Deerfoot Trail NE ","Two vehicle incident. Blocking the left lane","2026/01/07 01:59:21 PM","2026/01/07 08:46:28 AM","NE","-114.03982359234","51.09605635261","1","2026-01-07T13:59:2151.096056352608926-114.03982359234142","POINT (-114.03982359234142 51.096056352608926)"
" Northbound Harvest Hills Boulevard ramp to Eastbound Stoney Trail NW ","Traffic incident.   Blocking the right shoulder","2026/01/07 04:56:28 AM","2026/01/06 10:00:34 PM","NE","-114.06700224841","51.17262999471","1","2026-01-07T04:56:2851.17262999470791-114.06700224840871","POINT (-114.06700224840871 51.17262999470791)"
" Stoney Trail and Country Hills Boulevard NW ","Traffic incident.","2026/01/07 04:06:04 AM","2026/01/06 09:11:34 PM","NW","-114.20250179312","51.14545847652","1","2026-01-07T04:06:0451.14545847651603-114.2025017931179","POINT (-114.2025017931179 51.14545847651603)"
" Sarcee Trail and Richmond Road SW ","Traffic incident.","2026/01/07 01:32:53 AM","2026/01/06 09:07:38 PM","SW","-114.16389983696","51.01772940466","1","2026-01-07T01:32:5351.01772940466409-114.16389983696236","POINT (-114.16389983696236 51.01772940466409)"
" Eastbound Glenmore Trail after 52 Street SE ","Traffic incident.","2026/01/07 01:13:57 AM","2026/01/06 09:11:34 PM","SE","-113.94225562146","50.97949799458","1","2026-01-07T01:13:5750.979497994581614-113.94225562145736","POINT (-113.94225562145736 50.979497994581614)"
" Northbound Crowchild Trail and Stoney Trail NW ","Two vehicle incident. Blocking multiple lanes","2026/01/07 12:33:49 AM","2026/01/06 06:14:59 PM","NW","-114.24185098583","51.13727097953","1","2026-01-07T00:33:4951.13727097953399-114.2418509858272","POINT (-114.2418509858272 51.13727097953399)"
" Memorial Drive approaching Kensington Road NW ","Traffic incident.","2026/01/07 12:28:17 AM","2026/01/06 06:37:14 PM","NW","-114.12150306609","51.05245501433","1","2026-01-07T00:28:1751.05245501432933-114.12150306609104","POINT (-114.12150306609104 51.05245501432933)"
" Eastbound Bow Trail and Sarcee Trail SW ","Two vehicle incident. Blocking the left lane","2026/01/07 12:28:15 AM","2026/01/06 06:14:59 PM","SW","-114.16542528218","51.0531737724","1","2026-01-07T00:28:1551.05317377239797-114.16542528218258","POINT (-114.16542528218258 51.05317377239797)"
" 68 Street and 26 Avenue NE ","Traffic incident.","2026/01/06 11:57:52 PM","2026/01/06 05:37:46 PM","NE","-113.93559447466","51.0761519728","1","2026-01-06T23:57:5251.076151972800275-113.93559447465802","POINT (-113.93559447465802 51.076151972800275)"
" 9 Avenue and 14a Street SE ","Traffic incident.","2026/01/06 11:45:33 PM","2026/01/06 05:37:46 PM","SE","-114.02725950646","51.03850502704","1","2026-01-06T23:45:3351.038505027042916-114.02725950645863","POINT (-114.02725950645863 51.038505027042916)"
" Eastbound 16 Avenue and Deerfoot Trail NE ","Two vehicle incident. Blocking multiple lanes","2026/01/06 10:29:23 PM","2026/01/06 03:31:50 PM","NE","-114.02856454415","51.06738599263","1","2026-01-06T22:29:2351.06738599262929-114.0285645441459","POINT (-114.0285645441459 51.06738599262929)"
" Southbound Deerfoot Trail and Glenmore Trail SE ","Traffic incident. Blocking the right lane","2026/01/06 10:07:03 PM","2026/01/06 03:53:44 PM","SE","-114.03103954741","51.00187013452","1","2026-01-06T22:07:0351.001870134517915-114.03103954740699","POINT (-114.03103954740699 51.001870134517915)"
" Westbound 162 Avenue and Shawville Blvd SE ","Two vehicle incident. Blocking the right lane","2026/01/06 09:05:24 PM","2026/01/06 04:04:14 PM","SE","-114.06686394982","50.90403600514","1","2026-01-06T21:05:2450.9040360051436-114.06686394981531","POINT (-114.06686394981531 50.9040360051436)"
" Eastbound Heritage Drive and Bonaventure Drive SE ","Two vehicle incident. Blocking the right lane","2026/01/06 08:53:43 PM","2026/01/06 02:08:25 PM","SE","-114.06797093334","50.97957304213","1","2026-01-06T20:53:4350.979573042132515-114.067970933342","POINT (-114.067970933342 50.979573042132515)"
" Westbound 16 Avenue and 36 Street NE ","Traffic incident. Blocking the right lane","2026/01/06 08:52:45 PM","2026/01/06 03:31:50 PM","NE","-113.96820116316","51.06707159632","1","2026-01-06T20:52:4551.067071596321334-113.96820116316142","POINT (-113.96820116316142 51.067071596321334)"
" Westbound Mcknight Boulevard and Aviation Boulevard NE ","Two vehicle incident. Blocking multiple lanes","2026/01/06 08:45:26 PM","2026/01/06 03:08:42 PM","NE","-114.03393750368","51.09615898318","1","2026-01-06T20:45:2651.09615898317519-114.033937503681","POINT (-114.033937503681 51.09615898317519)"
" Northbound Deerfoot Trail approaching Glenmore Trail SE ","Multi-vehicle incident. Blocking the left lanes","2026/01/06 07:46:41 PM","2026/01/06 01:55:56 PM","SE","-114.03503609491","50.98747254064","1","2026-01-06T19:46:4150.987472540639175-114.03503609490897","POINT (-114.03503609490897 50.987472540639175)"
" Southbound 36 Street approaching 108 Avenue NE ","Single vehicle incident. Blocking the right lane","2026/01/06 04:54:18 PM","2026/01/06 11:20:18 AM","NE","-113.98176288306","51.15150756775","1","2026-01-06T16:54:1851.15150756775385-113.98176288306152","POINT (-113.98176288306152 51.15150756775385)"
" 80 Avenue and Saddletowne Ci NE ","Traffic incident.","2026/01/06 04:37:34 PM","2026/01/06 09:56:36 AM","NE","-113.95013847033","51.12525604218","1","2026-01-06T16:37:3451.12525604218395-113.95013847032506","POINT (-113.95013847032506 51.12525604218395)"
" Westbound 16 Avenue at Barlow Trail NE ","Traffic incident. Blocking the right lane","2026/01/06 03:59:23 PM","2026/01/06 09:38:24 AM","NE","-113.99965042354","51.0670709767","1","2026-01-06T15:59:2351.067070976703775-113.99965042354391","POINT (-113.99965042354391 51.067070976703775)"
" Southbound Deerfoot Trail approaching Country Hills Boulevard NE ","Multi-vehicle incident. Blocking the left lane","2026/01/06 03:22:48 PM","2026/01/06 09:01:34 AM","NE","-114.00682335965","51.16181622079","1","2026-01-06T15:22:4851.1618162207946-114.00682335965227","POINT (-114.00682335965227 51.1618162207946)"
" Eastbound 16 Avenue after Home Road NW ","Stalled vehicle. Blocking the right lane","2026/01/06 02:44:02 PM","2026/01/06 07:46:17 AM","NW","-114.16385071943","51.07207506523","1","2026-01-06T14:44:0251.07207506522532-114.16385071943104","POINT (-114.16385071943104 51.07207506522532)"
" Southbound 37 Street and 13 Avenue SW ","Two vehicle incident. Blocking the right lane","2026/01/06 06:21:06 AM","2026/01/06 12:43:50 AM","SW","-114.1411365218","51.04151995663","1","2026-01-06T06:21:0651.04151995662566-114.14113652179923","POINT (-114.14113652179923 51.04151995662566)"
" 210 Avenue and Belmont Drive SW ","Traffic incident.","2026/01/06 06:15:26 AM","2026/01/05 11:25:12 PM","SW","-114.06486148206","50.86304999825","1","2026-01-06T06:15:2650.86304999824973-114.06486148206348","POINT (-114.06486148206348 50.86304999824973)"
" Northbound 14 Street  at John Laurie Boulevard NW ","Two vehicle incident. Blocking the right lane","2026/01/06 06:03:40 AM","2026/01/05 11:25:12 PM","NW","-114.09466053269","51.08953338221","1","2026-01-06T06:03:4051.08953338220924-114.09466053269301","POINT (-114.09466053269301 51.08953338220924)"
" Northbound Metis Trail and 88 Avenue NE ","Two vehicle incident. Blocking the right lane","2026/01/06 05:20:30 AM","2026/01/06 12:20:03 AM","NE","-113.97003890459","51.13253919875","1","2026-01-06T05:20:3051.132539198751964-113.97003890458883","POINT (-113.97003890458883 51.132539198751964)"
" Northbound Nose Hill Drive and John Laurie Boulevard NW ","Traffic incident. Blocking the right lane","2026/01/06 04:37:09 AM","2026/01/05 09:39:33 PM","NW","-114.19434111863","51.12772657479","1","2026-01-06T04:37:0951.127726574790756-114.19434111863438","POINT (-114.19434111863438 51.127726574790756)"
" 52 Street and 8 Avenue SE ","Traffic incident.","2026/01/06 03:31:29 AM","2026/01/05 08:58:47 PM","SE","-113.95876953471","51.04518300551","1","2026-01-06T03:31:2951.0451830055119-113.95876953471365","POINT (-113.95876953471365 51.0451830055119)"
" Cranston Avenue and Deerfoot Trail SE ","Traffic incident.","2026/01/06 03:20:10 AM","2026/01/05 08:33:15 PM","SE","-113.97377698413","50.89425297004","1","2026-01-06T03:20:1050.89425297003944-113.97377698413382","POINT (-113.97377698413382 50.89425297003944)"
" 26 Street and Bow Trail SW ","Traffic incident.","2026/01/06 12:50:10 AM","2026/01/05 07:29:04 PM","SW","-114.12365844542","51.04151098846","1","2026-01-06T00:50:1051.04151098846254-114.1236584454228","POINT (-114.1236584454228 51.04151098846254)"
" Northbound Deerfoot Trail and 17 Avenue SE ","Two vehicle incident. Blocking the right lane","2026/01/06 12:36:15 AM","2026/01/05 06:00:56 PM","SE","-114.01014602121","51.03705601165","1","2026-01-06T00:36:1551.037056011647046-114.01014602121316","POINT (-114.01014602121316 51.037056011647046)"
" Southbound Deerfoot Trail and 32 Avenue NE ","Traffic incident. Blocking the right lane","2026/01/06 12:31:08 AM","2026/01/05 05:38:01 PM","NW","-114.03804602403","51.08664602698","1","2026-01-06T00:31:0851.08664602697578-114.038046024028","POINT (-114.038046024028 51.08664602697578)"
" Westbound 16 Avenue and Deerfoot Trail NE ","Two vehicle incident. Blocking the right lane","2026/01/06 12:10:40 AM","2026/01/05 05:13:00 PM","NE","-114.02856454415","51.06738599263","1","2026-01-06T00:10:4051.06738599262929-114.0285645441459","POINT (-114.0285645441459 51.06738599262929)"
" 16 Avenue and Edmonton Trail NE ","Two vehicle incident. Blocking multiple lanes","2026/01/05 11:55:24 PM","2026/01/05 05:13:00 PM","NE","-114.05618094848","51.0668460399","1","2026-01-05T23:55:2451.06684603990212-114.05618094847591","POINT (-114.05618094847591 51.06684603990212)"
" Southbound Crowchild Trail approaching Glenmore Trail SW ","Traffic incident. Blocking multiple lanes","2026/01/05 10:59:26 PM","2026/01/05 04:01:54 PM","SW","-114.12282597767","51.00132595829","1","2026-01-05T22:59:2651.001325958290245-114.1228259776701","POINT (-114.1228259776701 51.001325958290245)"
" Northbound 1 Street north of Stoney Trail NE ","Two vehicle incident. Blocking the right lane","2026/01/05 08:08:16 PM","2026/01/05 01:10:30 PM","NE","-114.0695016898","51.17677352089","1","2026-01-05T20:08:1651.17677352089092-114.06950168980404","POINT (-114.06950168980404 51.17677352089092)"
" Westbound Glenmore Trail approaching Blackfoot Trail SE ","Two vehicle incident. Blocking the right lane","2026/01/05 07:16:30 PM","2026/01/05 12:18:54 PM","SE","-114.0433093575","50.99454439332","1","2026-01-05T19:16:3050.99454439331587-114.04330935749782","POINT (-114.04330935749782 50.99454439331587)"
" Eastbound 80 Avenue at Tarawood Lane NE ","Traffic incident. Blocking the right lane","2026/01/05 03:54:29 PM","2026/01/05 08:57:47 AM","NE","-113.94093151861","51.12514801426","1","2026-01-05T15:54:2951.12514801425536-113.9409315186098","POINT (-113.9409315186098 51.12514801425536)"
" Anderson Road and Elbow Drive SW ","Traffic incident. Blocking multiple lanes in the intersection","2026/01/05 03:50:40 PM","2026/01/05 09:45:02 AM","SW","-114.08458656266","50.95051712743","1","2026-01-05T15:50:4050.950517127428924-114.08458656265769","POINT (-114.08458656265769 50.950517127428924)"
" Northbound Macleod Trail approaching Anderson Road SE ","Two vehicle incident. Blocking the left lane","2026/01/05 03:05:27 PM","2026/01/05 08:08:00 AM","SE","-114.07055482449","50.94690801837","1","2026-01-05T15:05:2750.94690801836579-114.0705548244884","POINT (-114.0705548244884 50.94690801836579)"
" 9 Avenue east of 11 Street SW ","Traffic incident.","2026/01/05 02:25:53 PM","2026/01/05 08:08:00 AM","SW","-114.08667454572","51.04528534601","1","2026-01-05T14:25:5351.04528534600881-114.08667454571703","POINT (-114.08667454571703 51.04528534600881)"
" Cranston Avenue and Cranbrook cove SE ","Traffic incident.","2026/01/05 11:08:00 AM","2026/01/05 04:09:46 AM","SE","-113.97873150734","50.86581297983","1","2026-01-05T11:08:0050.86581297983462-113.97873150734061","POINT (-113.97873150734061 50.86581297983462)"
